Numero,Nimi
456448,Da Sergio Organic 2015 hanapakkaus
447987,'Duca di Camastra Nero d''Avola 2014'
400047,'Insieme Nero d''Avola 2015'
483587,'L''Auratae Nero d''Avola 2015'
472338,'Maestro Italiano Nero d''Avola Syrah  hanapakkaus'
484097,'Mont''Albano Organic Nero d''Avola 2015'
421287,'Montalto Nero d''Avola Merlot 2015 muovipullo'
457867,'Montalto Nero d''Avola Passivento 2015'
453828,Montalto Syrah 2015 muovipullo
452207,Planeta Etna Rosso 2015
498557,Santa Tresa Organic Frappato 2015
420007,Voga Italia Quattro 2012
431677,Aia Vecchia Sor Ugo 2013
400897,Antinori Pèppoli 2013
934197,Antinori Tignanello 2012
428478,Banfi Brunello di Montalcino 2010
449897,Barone Ricasoli Brolio Chianti Classico 2014
453517,Bibi Graetz Colore 2010
454997,Bibi Graetz Testamatta 2012
443037,Borgo Salcetino Lucarello Riserva 2012
456127,Cabreo Il Borgo 2013
485417,Caprili Brunello di Montalcino 2011
484857,Casanova di Neri Brunello di Montalcino Cerretalto 2007
477818,Casanova di Neri Cerretalto Brunello di Montalcino 2010
474257,Casanova di Neri Tenuta Nuova Brunello di Montalcino 2001
006382,Castellani Villa Puccini 2012
473437,Castello di Ama L’Apparita 2011
469287,Castello di Ama San Lorenzo 2011
468897,Castello di Ama Vigneto Bellavista 2011
407427,Castello di Ama Vigneto La Casuccia 2011
005675,Castiglioni Chianti 2015
461477,Farnito Camponibbio 2009
465237,Fontella Chianti 2015
478577,Frescobaldi Campo ai Sassi 2014
005696,Frescobaldi Rèmole 2014
418438,Il Caberlot 2008
404108,Il Caberlot 2012
429397,Il Molino di Grace Il Margone 2011
415107,Il Pietrello 2013
437627,Il Proprio Sangiovese 2015
407077,LaSelva Privo 2015
421927,Le Macchiole Scrio 2011
401477,Marchese Antinori Chianti Classico Riserva 2013
006654,Nipozzano Riserva 2011
920307,Ornellaia Le Volte 2014
402997,Petrolo Galatrona 2013
482014,Piccini Organic Chianti 2015
439088,Piccini Valiano 6.38 Chianti Classico Gran Selezione 2011
452547,Poggio al Tufo Rompicollo 2014
923227,Raffinato Governo Toscano 2014
007011,Ruffino Chianti 2015
442514,Ruffino Riserva Ducale 2012
440197,Santa Cristina 2014
497718,Signorelli Rosso Toscana 2014 hanapakkaus
469277,Solaia 2011
439567,'Tre Rose Governo all''Uso Toscano 2014'
447947,Trerose La Villa 2012
446927,Trerose Rosso di Montepulciano 2014
406067,Val di Suga Brunello di Montalcino Riserva 2010
425437,Val di Suga Vigna Spuntali Brunello di Montalcino 2010
487817,Valdifalco Morellino di Scansano 2014
005943,Vernaiolo Chianti 2015
424647,Vignamaggio Chianti Classico Gherardino 2012
006861,Villa Antinori Rosso 2013
468614,Villa Antinori Rosso 2013
449567,Villa Cafaggio Chianti Classico 2013
005972,Cavit Sanvigilio Merlot 2015
447037,Mezzacorona Teroldego Rotaliano Riserva 2012
478047,Amarone Armigero 2012
421637,Amarone della Valpolicella di Emilia 2012
461227,Amorevole Amarone 2012
469397,Antiche Terre Solo Passione Rosso 2014
469398,Antiche Terre Solo Passione Rosso 2014 hanapakkaus
400637,Appetitoso Due Passento 2013
406937,Arancione Originale Ripasso 2014
428737,Armigero Valpolicella Ripasso 2014
452927,Bieti Valpolicella Ripasso Classico 2014
449097,Bixio Amarone Classico della Valpolicella 2013
485827,Botter Amarone 2012
453417,Campolieti Valpolicella Classico Superiore Ripasso 2012
434797,Cecilia Beretta Ripasso 2014
453884,Cesari Amarone della Valpolicella Classico 2010
496007,Collina del Sole Ripasso Valpolicella Superiore 2014
420787,Emilia Appetitoso 2013
947867,Giuseppe Campagnola Valpolicella Ripasso 2014
455007,I Castei Amarone della Valpolicella Classico 2012
006004,Masi Bonacosta Valpolicella Classico 2015
006364,Masi Campofiorin 2013
455887,Masi Costasera Amarone Classico 2011
406247,Masi Costasera Amarone Classico Grandi Annate 1999
005382,Masi Modello delle Venezie Rosso 2014
006903,Pasqua Merlot 2015
005384,Pasqua Sanzeno Cabernet Sauvignon Merlot 2015 hanapakkaus
006881,Pasqua Villa Borghetti Bardolino Classico 2015
432027,Pasqua Villa Borghetti Valpolicella Classico 2015
005832,Perlage Cabernet del Veneto 2014
428697,Sartori Regolo 2012
453767,Sartori RV 2013
495037,Signorelli Valpolicella Ripasso Superiore 2014
443817,Tedeschi Capitel San Rocco Ripasso 2014
446477,Tommasi Amarone della Valpolicella Classico 2012
419467,Tommasi Crearo 2013
448608,Tommasi Graticcio Appasionato 2014 hanapakkaus
429567,Tommasi Ripasso Valpolicella 2014
417847,Tommasi Valpolicella 2015
480757,Verrocchio Amarone della Valpolicella Classico 2012
456617,Verrocchio Valpolicella Superiore Ripasso 2014
431777,Villalta Valpolicella Ripasso 2014
471387,Vivaldi Passatempo 2013
920997,Zanni Valpolicella 2014
430864,Zenato Amarone Classico 2011
943787,Zenato Amarone Classico della Valpolicella Riserva 2010
458517,Zenato Amarone della Valpolicella Classico 2012
007122,Zenato Ripassa Valpolicella Superiore 2012
450187,Zenato Valpolicella Superiore 2014
475407,Zenato Veneto Rosso Parziale Appassimento 2013
463937,Feiler-Artinger Zweigelt 2015
497557,Kracher Blend Drei 2014
458907,Leth Gigama Grande Reserve Blauer Zweigelt 2013
415267,Leth Pinot Noir Reserve 2013
407107,Loos Blaufränkisch 2013
435777,Schneider Sankt Laurent 2014
418607,Henry of Pelham Estate Pinot Noir 2012
403397,Agathon Limnio Cabernet Sauvignon 2013
479227,Kir-Yianni Ramnista Xinomavro 2012
451447,Tsantali Nemea Réserve 2011
438127,Telus Plavac Mali 2013
490447,Château Ksara Reserve du Couvent 2012
954277,Chateau Musar 2007
489197,Domaine Wardy Les Terroirs 2013
450587,Ezimit Vino Vranec Barrique 2011
005375,Millcreek Merlot  hanapakkaus
456977,Eno Cabernet Sauvignon 2013
411747,Mount Hermon Red 2014
439068,2u Duas Uvas 2015 hanapakkaus
468007,Altano Quinta do Ataíde Reserva 2012
419218,Atlântico 2015 muovipullo
473327,Cabeça de Toiro Reserva 2011
477347,Carm 2013
437807,Chryseia 2013
005434,Dom Dinis Reserva Tinto 2012
475497,Dona Ermelinda 2013
470667,Esporão Reserva 2013
005393,Fonte do Beco 2014
956077,LAB Tinto 2012
910547,NBNC 2014
489767,Penina Touriga National 2013
436967,Portada 2014
422137,Quinta da Espiga 2015
453977,Quinta das Setencostas 2013
925548,Quinta das Setencostas 2014 hanapakkaus
458694,Quinta de la Rosa 2013
420337,Quinta do Crasto Tinta Roriz 2013
488697,Quinta do Crasto Vinha Maria Teresa 2013
442708,Quinta Do Gradil Red Blend 2015 hanapakkaus
438947,Quinta do Sobral Santar Reserva 2014
498347,Quinta dos Murças Reserva 2010
407997,Quinta Vista Syrah Cabernet Sauvignon 2013
401767,Sá de Baixo 2014
483577,São Filipe 2014
924758,Smart Dog Syrah Trincadeira 2015 hanapakkaus
403277,Tanquista Tinto
472007,Tarambola 2014
406117,Torre de Coimbra 2014
437647,Tyto Alba 2013
458387,Vinha do Bispado 2014
451757,Wolfberger La Louve Pinot Noir 2014
428107,Alter Ego 2012
409907,Alter Ego 2013
462667,Château Angludet 2013
408237,Château Bernadotte 2010
424427,Château Beychevelle 2013
005183,Château Bonnin Pichon 2011
431847,Château Branaire-Ducru 2011
422407,Château Canon 2012
420657,Château Certan De May de Certan 2011
464917,Château Certan De May de Certan 2012
005285,Château Chaubinet 2014
005286,Château Chaubinet 2014
493007,Château Cheval Blanc 2013
423217,Château Citran 2005
456837,Château Clerc Milon 2012
478057,Château Clerc Milon 2013
454047,'Château Cos d''Estournel 2013'
416667,'Château d''Armailhac 2012'
423047,'Château d''Armailhac 2013'
426977,'Château d''Aurilhac 2009'
441307,Château de Carolle 2012
446727,Château de Castres 2012
005001,Château de Seguin 2014
005406,Château de Seguin Cuvée Prestige 2014
005242,Chateau du Pin 2012
472897,Château Figeac 2013
437497,Château Fontesteau 2011
485617,Château Fourcas-Borie 2012
482527,Château Giscours 2012
463387,Château Grand Launay 2015
489537,Château Grange-Neuve 2012
436247,Château Gruaud Larose 2011
456927,Château Haut-Bages Monpelou 2011
438447,Château la Conseillante 2013
491307,Château La Dominique 2010
486407,Château Lagrange 2010
441147,Château Latour 1990
412657,Château Malartic-Lagravière 2010
482117,Château Margaux 2013
453057,Château Marquis de Terme 2010
439297,Château Morillon 2014
468767,Château Mouton Rothschild 2010
490877,Château Mouton Rothschild 2011
409377,Château Mouton Rothschild 2013
448447,Château Palmer 1988
442847,Château Palmer 2010
469987,Château Palmer 2011
457087,Château Palmer 2012
464197,Château Pape Clément 2013
408867,Château Prieuré-Lichine 2010
499357,Château Providence 2012
403367,Château Puy De Guirande 2015
433927,Château Ripeau 2009
005503,Château Roc De Boissac Le Vieux Chantre 2012
492047,Château Sénilhac 2012
450937,Château Talbot 2012
460167,Château Tayac Cuvée Nicolas 2012
005072,Château Timberlay 2012
433287,Château Tour Peyronneau 2014
449817,Château Trotanoy 2011
466817,Château Trotanoy 2012
471567,Château Valandraud 2010
494147,Château Valandraud 2012
446657,Château Venus 2012
487107,Gracia 2010
425577,Le Carré 2011
489727,Le Carré 2012
489357,Le Carré 2013
493867,Le Dôme 2011
441007,Le Dôme 2012
483867,Le Dôme 2013
460947,Le Petit Mouton de Mouton Rothschild 2012
442327,Le Petit Mouton de Mouton Rothschild 2013
471437,Les Asteries 2010
446027,Les Astéries 2011
485187,Les Astéries 2012
425147,Les Astéries 2013
451417,Louis Eschenauer Médoc 2013
494667,Marojallia 2010
404647,Marojallia 2012
005091,Mouton Cadet Rouge 2014
451967,Pavillon Rouge du Château Margaux 2013
005093,Pierredon 2013
441717,Réserve de la Comtesse 2010
443627,Vieux Château Mazerat 2011
475247,Vieux Château Mazerat 2012
437687,Vieux Château Mazerat 2013
446917,Virginie de Valandraud 2012
443137,Yvon Mau Saint-Emilion 2014
464687,Albert Bichot Beaujolais-Villages Nouveau 2016
401667,Antonin Rodet Pinot Noir 2014
006121,Bouchard La Vignée Pinot Noir 2014
468547,Cave de Lugny Pinot Noir 2014
461457,Château des Poupets Juliénas 2012
421727,Georges Duboeuf Beaujolais Nouveau 2016
006102,Georges Duboeuf Beaujolais-Villages Cuvée 3 Fleur 2014
450254,Joseph Drouhin Givry 2012
432037,Joseph Drouhin Moulin-à-Vent 2014
423117,Joseph Drouhin Rully Rouge 2014
460177,Joseph Drouhin Vosne-Romanée 2011
006341,Jules Bernolin Beaujolais 2015
460687,Louis Jadot Domaine Gagey Beaune Grèves 1er Cru 2012
418397,Louis Jadot Pommard 2011
481967,Marsannay Le Finage 2015
481637,Nuiton-Beaunoy Maranges 2013
460527,Olivier Leflaive Volnay 1er Cru Mitans 2011
486147,Rodet Clos de Thorey Monopole 2008
005874,Vignerons de Buxy Buissonnier Pinot Noir 2012
451158,Blue Nun Merlot  hanapakkaus
403237,Boeuf Bourguignon by Chavin Organic 2015
450718,Cazes Le Cop Organic 2015 viinipussi
005714,Château Pech-Latt 2015
420557,Gérard Bertrand Naturae Corbières 2014
471857,Gérard Bertrand Naturalys Cabernet Merlot 2014
409397,Gérard Bertrand Naturalys Syrah 2015
477437,Gérard Bertrand Réserve Spéciale Pinot Noir Grenache 2014
476508,Greener Planet Cabernet Sauvignon 2015 muovipullo
489407,Hob Nob Cabernet Sauvignon 2015
005741,J.P. Chenet Cabernet Syrah 2015
005704,J.P. Chenet Cabernet Syrah 2015
005312,J.P. Chenet Cabernet Syrah 2015 hanapakkaus
440177,J.P. Chenet Grenache Noir 2013
442867,J.P. Chenet Merlot 2015
442868,J.P. Chenet Merlot 2015 hanapakkaus
455477,Le Grand Noir Cabernet Syrah 2014
444487,Les Carabènes Pinot Noir 2015
431073,Mango Fango Grenache Syrah Organic 2015 muovipullo
495257,Reserve Naturelle Prestige Syrah 2015
448698,Roche Mazet Cabernet Sauvignon  hanapakkaus
444637,Rosière Syrah 2014
471127,The Long Little Dog 2014 muovipullo
913278,Vernissage Syrah Cabernet Sauvignon 2015 hanapakkaus
475447,Château de Fesles Cabernet Franc La Chapelle Vieilles Vignes 2014
446687,Henri Bourgeois Sancerre Les Baronnes Rouge 2012
439457,Château Haut-Monplaisir 2014
443227,Duc de Larsan Madiran 2013
409617,Douce Nature Organic Merlot 2015 muovipullo
463308,Evergreen Organic Merlot 2015 hanapakkaus
423608,La Belle Angèle Cabernet Sauvignon 2015 hanapakkaus
461278,Le Bistro de Pierre Organic Syrah 2015 hanapakkaus
469057,Le Défi De Fontenil Lot. 05
445177,Le Défi De Fontenil Lot. 09
472687,Les Grands Arbres 2014
567217,P. Louis Martin Grand Cru Bouzy Rouge 2010
492927,Domaines Ott Château Romassan 2013
473538,La Mascaronne Fazioli 2012
456437,Chapoutier Belleruche Rouge 2015
459817,Chapoutier La Ciboise 2014
429967,Chapoutier Les Meysonniers 2014
412927,Chapoutier Rasteau 2014
443647,Chapoutier Signargues 2014
457557,'Château d''Aqueria Lirac 2014'
427417,Châteauneuf-du-Pape Domaine de Nalys Réserve 2012
465837,Châteauneuf-du-Pape Domaine du Vieux Lazaret 2013
006911,Châteauneuf-du-Pape Le Moulin Teyroud 2013
474777,Delas Hermitage Domaine des Tourettes 2012
434077,Domaine Notre Dame de Cousignac Parcelle Nord 2015
409027,E. Guigal La Landonne 2010
475457,E. Guigal La Mouline 2010
412197,E. Guigal La Turque 2010
434587,Gabriel Meffre Châteauneuf-du-Pape Inné 2014
460437,Gabriel Meffre Côte Rôtie Laurus 2012
468327,Gérard Bertrand Naturalys Côtes du Rhone 2014
438737,'Gigondas L''Hallali Grande Réserve 2014'
460267,Guigal Côtes du Rhône 2012
489227,Hirvi Châteauneuf-du-Pape 2014
459107,Jaboulet Crozes Hermitage Domaine de Raymond Roure 1996
436297,Jaboulet Crozes Hermitage Domaine de Thalabert 1996
419287,Jaboulet Hermitage La Chapelle 1996
458887,Jaboulet Parallèle 45 2013
411327,Juliette Avril Châteauneuf-du-Pape 2014
451257,La Vieille Ferme Rouge 2015
443154,Ogier Côtes du Rhône Gentilhomme 2015
455578,Ogier Côtes du Rhône La Promesse Rouge 2015 hanapakkaus
005755,Ogier Heritages Les Moniales Côtes du Rhône Villages 2014
450987,Vallis Terra Grenache Syrah 2015
481357,Floare de Luna Feteasca Neagra 2015
424177,Becker Family Pinot Noir 2012
493927,Becker Landgraf Gau-Odernheimer Spätburgunder 2013
451467,Black Tower Dornfelder Pinot Noir 2015
477968,Frame Pinot Noir 2015 hanapakkaus
440147,Freiherr von Göler Pinot Noir 2015
425967,Müller-Catoir Haardt Spätburgunder 2013
404137,Münzberg Spätburgunder Trocken
403567,Cuvée 1858 Rouge 2012
479717,Valéria Dôle de Sion 2013
456917,K of Kapadokia 2012
472127,Gere Athus Cuvée 2013
486847,Hilltop Merlot 2013
442627,Magyar Édes Vörös Bor
423207,Thummerer Egri Bikavér Classicus 2012
433137,Garzón Tannat 2013
441627,Pisano Río de los Pájaros Pinot Noir 2016
459997,Alpha Domus The Barnstormer Syrah 2014
466047,Brancott Estate Pinot Noir 2014
403907,Craggy Range Gimblett Gravels Syrah 2011
451167,Felton Road Block 3 Pinot Noir 2013
452477,Jackson Estate Vintage Widow Pinot Noir 2013
475257,Kim Crawford Rise and Shine Pinot Noir 2013
493397,Matua Lands & Legends Merlot Cabernet 2013
466327,Matua Marlborough Pinot Noir 2014
471328,Paddle Creek Pinot Noir 2014 hanapakkaus
404257,'Pheasant''s Tail Pinot Noir 2013'
437164,Sileni Cellar Selection Pinot Noir 2014
408487,Te Kairanga Runholder Pinot Noir 2014
417607,Waipara Hills Central Otago Pinot Noir 2013
930237,Barefoot Merlot
451697,Barefoot Shiraz
459527,Bearflag Dark Red Wine Blend
447697,Beringer Cabernet Sauvignon 2015
459707,Beringer Clear Lake Zinfandel 2012
005795,'Beringer Founder''s Estate Merlot 2013'
457467,Bogle Cabernet Sauvignon 2014
006955,Carlo Rossi California Red
425297,Chill Out Dark & Generous Shiraz 2013 muovipullo
478717,Concannon Livermore Petite Sirah 2012
446607,Dancing Bull Zinfandel 2014
462767,Earthquake Zinfandel 2013
497788,FlipFlop Californian Red 2013 kartonkitölkki
439657,Fog Head Reserve Pinot Noir 2013
469318,Gallo Family Vineyards Cabernet Sauvignon 2014 hanapakkaus
006944,Gallo Family Vineyards Zinfandel 2014
950648,Gnarly Head Old Vine Zin 2013 hanapakkaus
405157,Gnarly Head Old Vine Zin 2014
480907,Hahn GSM 2014
479657,Hahn Pinot Noir 2014
479797,Ironstone Old Vine Zinfandel 2015
426417,La Crema Russian River Valley Pinot Noir 2013
462877,Lyeth Meritage 2012
409157,Marlo Cabernet Sauvignon 2013
483197,Mt. Brave Napa Valley Cabernet Sauvignon 2012
484797,Obsession Red 2014
489447,Opus One 2012
465458,Paul Masson California Red  hanapakkaus
495517,Renwood Clarion 2014
431594,Simi Cabernet Sauvignon 2012
499157,Simi Cabernet Sauvignon Reserve 2010
424787,'Stag''s Leap Wine Cellars Cask 23 Cabernet Sauvignon 2005'
477917,'Stag''s Leap Wine Cellars S.L.V. Cabernet Sauvignon 2005'
447808,The Big Top Zinfandel 2014 muovipullo
455997,The Butler by Bonterra 2009
488187,Worlds End Against the Wind Cabernet Franc Reserve 2010 2010
462027,Worlds End Crossfire 2010
437927,Worlds End If Six Was Nine Cabernet Sauvignon Reserve 2013 2013
417247,Worlds End Little Sister Merlot Reserve 2010 2010
485787,Worlds End Wavelength 2010
405797,Chateau Ste Michelle Syrah 2012
433247,Columbia Crest Two Vines Cabernet Sauvignon 2012
464347,Hedges Red Mountain 2012
448147,K Vintners River Rock Syrah  2012
497527,K Vintners The Creator Cabernet-Syrah  2012
484427,Seven Falls Merlot 2011
407977,The Velvet Devil Merlot 2014
942608,Cameleon Rosé Organic 2016 hanapakkaus
464147,Santa Ana Organic Shiraz Rosé 2015
447297,Princess Butterfly Moscato 2014
490728,Woodie Rosé 2016 kartonkitölkki
444358,Capricorn Estates Cabernet Sauvignon Rosé 2015 hanapakkaus
461497,Tarapacá Casa Rivas Rosé 2016
499267,Terra Andina Lovely Rosé 2015
007142,Torres Santa Digna Cabernet Sauvignon Rosé 2016
004696,El Tiempo Rosado
007123,Peñascal Rosado
913447,Raimat Abadia Rosé 2015
424564,Terra Càlida Rosé 2015
496128,Torres San Valentin Rose 2015 hanapakkaus
906998,Stony Cape Syrah Rosé  hanapakkaus
473127,Thandi Shiraz Rosé 2016
950197,Black Tower Pink Bubbly 2015
437644,Badissa Bardolino Chiaretto 2015
485527,Costaripa Molmenti 2012
469907,Costaripa RosaMara 2015
443107,Gabbiano Rosé 2014
956997,Zenato Bardolino Chiaretto 2015
436157,Stadlmann Rosé St.Laurent 2015
946107,Casal Garcia Rose
007161,Mateus Rosé
436317,Barton & Guestier Rosé 2015
495287,BY.OTT 2015
442887,Château Barthès Rosé 2015
487637,'Château d''Aqueria Tavel Rosé 2015'
914907,'Chateau d''Esclans Whispering Angel 2015'
422707,Château Mira Luna 2015
463807,Chateau Saint Hilaire Prestige 2015
439037,Domaines Ott Clos Mireille Coeur de Grain Rosé 2015
483277,Fortant de France Merlot Rosé 2015
941867,J.P. Chenet Ice Rosé 2015
921627,Lafage Miraflors Rosé 2015
953738,Les Fumées Blanches Rosé 2015 hanapakkaus
487417,MJ Janeil Rosé 2015
909767,Mouton Cadet Rosé  2015
007131,'Rémy Pannier Rosé d''Anjou 2015'
485368,Rosé Chantal  hanapakkaus
421937,Rosé de Loire 2015
920977,Terres de Berne 2015
911588,Vernissage Rosé 2014 hanapakkaus
419677,'That''s Neiss Pinot Noir Rosé Trocken 2015'
412697,Beringer Zinfandel Rosé 2015
008175,Carlo Rossi California Rosé
914468,Chill Out Delicate & Fruity Shiraz Rosé 2015 hanapakkaus
570287,Alamos Chardonnay 2015
562298,Cameleon Organic Sauvignon Blanc Chardonnay 2015 hanapakkaus
561177,Doña Paula Los Cardos Sauvignon Blanc 2016
565407,El Bar Argentino Viognier Chardonnay Chenin Blanc 2015
519918,Fuzion Chardonnay 2014 kartonkitölkki
596898,Fuzion Chenin Torrontes 2015 hanapakkaus
509297,Luca G Lot Chardonnay 2012
531787,Norton Sauvignon Blanc Cosecha Tardía 2015
571237,Santa Julia Organica Viognier 2015
531137,Tilia Pinot Grigio 2015
502858,Trapiche Chardonnay Viognier 2015 viinipussi
500347,Trapiche Sauvignon Blanc 2015
507277,Trapiche Septiembre Blanco
007812,Trivento Chardonnay 2015
576347,Ecologica El Condor Torrontes Chardonnay 2016
590267,Amalaya Blanco Dulce de Corte 2016
512977,Gatt High Eden Riesling 2014
561327,'Four o''Clock Chardonnay 2015'
574848,McGuigan Expressions Chardonnay 2015 hanapakkaus
506792,Oxford Landing Sauvignon Blanc 2015
007963,Penfolds Koonunga Hill Chardonnay 2015
577377,The Hermit Crab Viognier Marsanne 2015
547427,The Original M8 Riesling Gewürztraminer 2015
578567,Wolf Blass Yellow Label Chardonnay 2015
510047,Wolf Blass Yellow Label Riesling 2015
516847,Yalumba Eden Valley Viognier 2014
517227,Yalumba Y Series Pinot Grigio 2014
580607,Yalumba Y Series Riesling 2015
558417,Ferngrove Diamond Chardonnay 2014
588837,Plan B Riesling 2016
549557,Plan B Sauvignon Blanc 2015
560457,Blue Pompano  muovipullo
598017,Camden Park Chardonnay Sauvignon Blanc Pinot Grigio 2015
551978,Chill Out Fresh & Fruity 2015 hanapakkaus
592427,Chill Out Fresh & Fruity Chardonnay 2015 muovipullo
514247,Curious Chardonnay Sauvignon Blanc 2014
571287,Hardys Bin 141 Colombard Chardonnay 2015
589177,Hardys Stamp Chardonnay Semillon 2014
958168,Hardys The Riddle Chardonnay 2015 muovipullo
568237,Hardys VR Chardonnay 2016
568238,Hardys VR Chardonnay 2016 hanapakkaus
008164,'Jacob''s Creek Classic Chardonnay 2015'
538778,'Jacob''s Creek Earth Vine Grape Chardonnay 2015 hanapakkaus'
587757,'Jacob''s Creek Riesling 2015'
007764,'Jacob''s Creek Semillon Chardonnay 2015'
508317,'Jacob''s Creek Wah 2015'
595998,Kangaroo Ridge Semillon Chardonnay 2015 hanapakkaus
006006,Lindemans Bin 65 Chardonnay 2015
535947,Lindemans Early Harvest Semillon Sauvignon Blanc 2015
547607,Logan Weemala Riesling 2016
582497,McGuigan Black Label Moscato 2016
008125,'Rawson''s Retreat Riesling 2015'
585757,Rosemount GTR 2013
942948,Rosemount GTR 2016 hanapakkaus
527997,The Four Growers Semillon Chardonnay 2015
506358,The Original M8 Sauvignon Blanc 2014 kartonkitölkki
006603,Wood Ridge Fruity White 2015
557677,Yellow Tail Pinot Grigio 2015
503957,Holm Oak Chardonnay 2015
008136,Ninth Island Sauvignon Blanc 2015
564497,De Bortoli DB Gewürztraminer Riesling 2015
580207,Brown Brothers Dry Muscat 2014
509217,De Bortoli Yarra Valley Villages Chardonnay 2014
521657,Salton Paradoxo Chardonnay 2013
588337,Leva Chardonnay Muscat 2015
561567,TriCycle Sauvignon Blanc Sémillon Viognier 2014
582197,Cono Sur Bicicleta Riesling 2016
582198,Cono Sur Bicicleta Riesling 2016 hanapakkaus
519237,Cono Sur Bicicleta Riesling Gewürztraminer Viognier 2016
578227,Cono Sur Single Vineyard Block 23 Riesling 2016
008313,Caliterra Reserva Chardonnay 2015
576107,Castillo de Molina Reserva Chardonnay 2015
577167,Cono Sur Reserva Especial Chardonnay 2014
538687,Cono Sur Single Vineyard Block 5 Chardonnay 2015
539017,Emiliana Natura Chardonnay 2015
561777,Emiliana Signos de Origen La Vinilla 2014
579777,Errázuriz Sauvignon Blanc Single Vineyard 2015
534387,Lapostolle Cuvée Alexandre Chardonnay 2013
008056,Tarapacá Reserva Chardonnay 2015
566677,Yali Wetland Reserva Sauvignon Blanc 2015
572757,Torres Santa Digna Riesling Reserva 2015
563997,Nimbus Single Vineyard Chardonnay 2015
569507,Tabali Talinay Chardonnay 2013
553387,Tarapacá Sauvignon Blanc Chardonnay Viognier 2016
008042,Carta Vieja Chardonnay 2014
005523,Antares Chardonnay 2016
580643,Casillero del Diablo Chardonnay 2014
008064,Casillero del Diablo Chardonnay 2015
948998,Casillero del Diablo Chardonnay 2015 hanapakkaus
571057,Casillero del Diablo Sauvignon Blanc 2015
958027,Castillo de Molina Reserva Sauvignon Blanc 2015
008065,Cono Sur Tocornal Chardonnay 2015
552867,Espíritu de Chile Chardonnay Gewürztraminer 2015
580358,Espíritu de Chile Gewürztraminer Semillon  hanapakkaus
552988,Espíritu de Chile Selección White  viinipussi
008106,Frontera Chardonnay 2015
581068,Frontera Chardonnay 2015 hanapakkaus
008005,Gato Negro Chardonnay 2016
008021,Gato Negro Chardonnay 2016 hanapakkaus
580039,Gato Negro Sauvignon Blanc 2015 kartonkitölkki
008003,Gato Negro Sauvignon Blanc 2016
008004,Gato Negro Sauvignon Blanc 2016
580038,Gato Negro Sauvignon Blanc 2016 hanapakkaus
520127,Gato Negro Semi Sweet White 2015
594598,Liisa Sauvignon Blanc Muscat  kartonkitölkki
008163,Luna Negra Chardonnay  hanapakkaus
903287,Mayu Riesling 2015
567838,Santa Helena Chardonnay 2016 hanapakkaus
567837,Santa Helena Varietal Chardonnay 2016
008053,Santa Helena Varietal Sauvignon Blanc 2016
547518,Santa Helena Varietal White Blend 2015 muovipullo
008083,Santa Rita 120 Chardonnay 2016
953347,Santiago 1541 Sauvignon Blanc 2015
567017,Serenata Chardonnay
008084,Sunrise Chardonnay 2015
008062,Sunrise Sauvignon Blanc 2015
008072,Tarapacá Santa Cecilia Chardonnay 2016
578977,Tarapacá Santa Cecilia Sauvignon Blanc 2016
522207,Torres Las Mulas Organic Viognier 2015
545137,Torres Santa Digna Gewürztraminer Reserva 2016
543297,Torres Santa Digna Sauvignon Blanc Reserva 2016
588667,Viña Maipo Chardonnay 2015
588668,Viña Maipo Chardonnay 2015 hanapakkaus
500267,Viña Maipo Moscato
532677,Adobe Gewürztraminer Reserva 2016
008052,Château Los Boldos Sauvignon Blanc 2015
501387,Yali Wetland Reserva Gewürztraminer 2015
510647,Anakena Ona Special Reserve Riesling Chardonnay Viognier 2014
575977,Casa Marin Cartagena Riesling 2016
594677,Leyda Garuma Vineyard Sauvignon Blanc 2015
587357,Leyda Sauvignon Blanc Lot 4 2015
549837,Leyda Sauvignon Gris Kadun Vineyard 2015
576717,Matetic EQ Organic Chardonnay 2013
510297,Novas Gran Reserva Sauvignon Blanc 2015
574738,Santa Carolina Reserva Sauvignon Blanc 2015 hanapakkaus
550557,Gran Vinum Albariño 2015
523007,La Liebre y la Tortuga Albariño 2015
549207,Terras Gauda O Rosal 2015
559597,Albet i Noya Collecció Chardonnay
563807,Gramona Gessamí 2015
551037,Herencia Altés Garnatxa Blanca 2014
576617,Jean Leon Vinya Gigi Chardonnay 2014
007045,Raimat Castell de Raimat Chardonnay 2015
957498,Raimat Chardonnay Albariño 2015 hanapakkaus
582567,Savia Viva Familia Xarel.lo 2015
514727,Terraprima Blanco 2013
553787,Torres Gran Viña Sol Chardonnay 2015
007505,Torres San Valentin Parellada 2015
007531,Torres Viña Esmeralda 2015
575314,Torres Viña Esmeralda 2015
575318,Torres Viña Esmeralda 2015 hanapakkaus
554547,Torres Viña Sol 2015
527198,Cerro Blanco Verdejo Chardonnay  kartonkitölkki
580847,El Tiempo Blanco
949278,El Tiempo Blanco  hanapakkaus
574767,El Tiempo Semiseco
502837,Estrella de Murviedro Frizzante
008974,Fiesta del Sol Semi-Seco
515668,Footmark White Organic 2015 muovipullo
598837,Freixenet Mía Blanco 2015
561194,Gran Feudo Moscatel 2015
529147,Hoya de Cadenas Night Harvest 2015
526747,José Pariente Varietal Verdejo 2015
004331,Karahvivalkoviini
530558,Parra Organic Verdejo Chardonnay 2015 viinipussi
957628,Piqueras Sauvignon Verdejo  hanapakkaus
